#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NW_026260788.1       -         tRNA                 RF00005    cm        1       71  1018870  1018941      +    no    1 0.60   0.0   66.2   4.3e-13 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026261142.1       -         5S_rRNA              RF00001    cm        1      119     9992     9874      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_361, whole genome shotgun sequence
NW_026261148.1       -         5S_rRNA              RF00001    cm        1      119     3181     3063      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_367, whole genome shotgun sequence
NW_026261148.1       -         5S_rRNA              RF00001    cm        1      119    12996    12878      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_367, whole genome shotgun sequence
NW_026261150.1       -         5S_rRNA              RF00001    cm        1      119     4181     4299      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_369, whole genome shotgun sequence
NW_026261150.1       -         5S_rRNA              RF00001    cm        1      119    13808    13926      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_369, whole genome shotgun sequence
NW_026261163.1       -         5S_rRNA              RF00001    cm        1      119     4884     4766      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_382, whole genome shotgun sequence
NW_026261163.1       -         5S_rRNA              RF00001    cm        1      119    14674    14556      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_382, whole genome shotgun sequence
NW_026261189.1       -         5S_rRNA              RF00001    cm        1      119     6938     7056      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_408, whole genome shotgun sequence
NW_026261191.1       -         5S_rRNA              RF00001    cm        1      119     8523     8405      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_410, whole genome shotgun sequence
NW_026261204.1       -         5S_rRNA              RF00001    cm        1      119     1201     1319      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_423, whole genome shotgun sequence
NW_026261204.1       -         5S_rRNA              RF00001    cm        1      119    11012    11130      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_423, whole genome shotgun sequence
NW_026261206.1       -         5S_rRNA              RF00001    cm        1      119     6144     6262      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_425, whole genome shotgun sequence
NW_026261207.1       -         5S_rRNA              RF00001    cm        1      119     4866     4748      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_426, whole genome shotgun sequence
NW_026261211.1       -         5S_rRNA              RF00001    cm        1      119     2648     2530      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_430, whole genome shotgun sequence
NW_026261211.1       -         5S_rRNA              RF00001    cm        1      119    12455    12337      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_430, whole genome shotgun sequence
NW_026261216.1       -         5S_rRNA              RF00001    cm        1      119     9381     9499      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_435, whole genome shotgun sequence
NW_026261225.1       -         5S_rRNA              RF00001    cm        1      119     6682     6800      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_444, whole genome shotgun sequence
NW_026261229.1       -         5S_rRNA              RF00001    cm        1      119     5624     5742      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_448, whole genome shotgun sequence
NW_026261232.1       -         5S_rRNA              RF00001    cm        1      119     8497     8379      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_451, whole genome shotgun sequence
NW_026261234.1       -         5S_rRNA              RF00001    cm        1      119     1500     1382      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_453, whole genome shotgun sequence
NW_026261234.1       -         5S_rRNA              RF00001    cm        1      119    11130    11012      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_453, whole genome shotgun sequence
NW_026261239.1       -         5S_rRNA              RF00001    cm        1      119      146      264      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_458, whole genome shotgun sequence
NW_026261239.1       -         5S_rRNA              RF00001    cm        1      119     9957    10075      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_458, whole genome shotgun sequence
NW_026261246.1       -         5S_rRNA              RF00001    cm        1      119     3942     3824      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_465, whole genome shotgun sequence
NW_026261248.1       -         5S_rRNA              RF00001    cm        1      119     9429     9547      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_467, whole genome shotgun sequence
NW_026261251.1       -         5S_rRNA              RF00001    cm        1      119     1809     1927      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_470, whole genome shotgun sequence
NW_026261251.1       -         5S_rRNA              RF00001    cm        1      119    11624    11742      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_470, whole genome shotgun sequence
NW_026261269.1       -         5S_rRNA              RF00001    cm        1      119     9559     9677      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_488, whole genome shotgun sequence
NW_026261270.1       -         5S_rRNA              RF00001    cm        1      119     6364     6246      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_489, whole genome shotgun sequence
NW_026261271.1       -         5S_rRNA              RF00001    cm        1      119     4501     4383      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_490, whole genome shotgun sequence
NW_026261278.1       -         5S_rRNA              RF00001    cm        1      119     7711     7593      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_497, whole genome shotgun sequence
NW_026261282.1       -         5S_rRNA              RF00001    cm        1      119     1010      892      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_501, whole genome shotgun sequence
NW_026261287.1       -         5S_rRNA              RF00001    cm        1      119     8433     8551      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_506, whole genome shotgun sequence
NW_026261290.1       -         5S_rRNA              RF00001    cm        1      119     7361     7243      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_509, whole genome shotgun sequence
NW_026261293.1       -         5S_rRNA              RF00001    cm        1      119     7572     7690      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_512, whole genome shotgun sequence
NW_026261299.1       -         5S_rRNA              RF00001    cm        1      119     2058     1940      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_518, whole genome shotgun sequence
NW_026261303.1       -         5S_rRNA              RF00001    cm        1      119     6957     6839      -    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_522, whole genome shotgun sequence
NW_026261304.1       -         5S_rRNA              RF00001    cm        1      119     1048     1166      +    no    1 0.56   0.0  113.5     3e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_523, whole genome shotgun sequence
NW_026261064.1       -         5S_rRNA              RF00001    cm        1      119     3231     3113      -    no    1 0.55   0.0  113.0   4.2e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_283, whole genome shotgun sequence
NW_026260839.1       -         5S_rRNA              RF00001    cm        1      119    44230    44348      +    no    1 0.54   0.0  112.4   5.9e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_58, whole genome shotgun sequence
NW_026261277.1       -         5S_rRNA              RF00001    cm        1      119     6970     6852      -    no    1 0.54   0.0  112.4   5.9e-24 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_496, whole genome shotgun sequence
NW_026261085.1       -         5S_rRNA              RF00001    cm        1      119     3990     4108      +    no    1 0.55   0.0  110.6   1.8e-23 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_304, whole genome shotgun sequence
NW_026261260.1       -         5S_rRNA              RF00001    cm        1      119     1585     1466      -    no    1 0.56   0.0  108.3   6.8e-23 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_479, whole genome shotgun sequence
NW_026261247.1       -         5S_rRNA              RF00001    cm        1      119     3430     3549      +    no    1 0.57   0.0  106.6   1.9e-22 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_466, whole genome shotgun sequence
NW_026261113.1       -         5S_rRNA              RF00001    cm        1      119    18136    18017      -    no    1 0.56   0.0  105.7   3.2e-22 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_332, whole genome shotgun sequence
NW_026260825.1       -         5S_rRNA              RF00001    cm        1      119   204900   205018      +    no    1 0.53   0.0  105.7   3.2e-22 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_44, whole genome shotgun sequence
NW_026261302.1       -         5S_rRNA              RF00001    cm        1      119     6252     6133      -    no    1 0.56   0.0  103.9   9.3e-22 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_521, whole genome shotgun sequence
NW_026261104.1       -         5S_rRNA              RF00001    cm        1      119    21364    21247      -    no    1 0.56   0.0  100.0   9.3e-21 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_323, whole genome shotgun sequence
NW_026261294.1       -         5S_rRNA              RF00001    cm        1      119     4866     4746      -    no    1 0.56   0.0   99.8   1.1e-20 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_513, whole genome shotgun sequence
NW_026261260.1       -         5S_rRNA              RF00001    cm        1      119    11365    11248      -    no    1 0.56   0.0   99.7   1.1e-20 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_479, whole genome shotgun sequence
NW_026261256.1       -         5S_rRNA              RF00001    cm        1      119     2287     2169      -    no    1 0.57   0.0   99.4   1.4e-20 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_475, whole genome shotgun sequence
NW_026261256.1       -         5S_rRNA              RF00001    cm        1      119    12099    11978      -    no    1 0.57   0.0   98.9   1.8e-20 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_475, whole genome shotgun sequence
NW_026261103.1       -         5S_rRNA              RF00001    cm        1      119     3273     3391      +    no    1 0.55   0.0   98.3   2.6e-20 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_322, whole genome shotgun sequence
NW_026261121.1       -         5S_rRNA              RF00001    cm        1      119      365      233      -    no    1 0.59   0.0   64.4   1.5e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_340, whole genome shotgun sequence
NW_026261126.1       -         5S_rRNA              RF00001    cm       48      119    20399    20328      -    5'    2 0.56   0.0   47.6   3.2e-07 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_345, whole genome shotgun sequence
NW_026261064.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401    16676    13261      -    no    1 0.52  14.5 3354.3         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_283, whole genome shotgun sequence
NW_026261072.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401    11560    14975      +    no    1 0.52  14.5 3354.3         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_291, whole genome shotgun sequence
NW_026261098.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401    10254    13669      +    no    1 0.52  14.5 3354.3         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_317, whole genome shotgun sequence
NW_026261126.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     4455     1040      -    no    1 0.52  14.5 3354.3         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_345, whole genome shotgun sequence
NW_026261126.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401    14219    10804      -    no    1 0.52  14.5 3354.3         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_345, whole genome shotgun sequence
NW_026261148.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401    16575    13160      -    no    1 0.52  14.5 3354.3         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_367, whole genome shotgun sequence
NW_026261150.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401      602     4017      +    no    1 0.52  14.5 3354.3         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_369, whole genome shotgun sequence
NW_026261150.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401    10229    13644      +    no    1 0.52  14.5 3354.3         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_369, whole genome shotgun sequence
NW_026261191.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401    12102     8687      -    no    1 0.52  14.5 3354.3         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_410, whole genome shotgun sequence
NW_026261282.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     4589     1174      -    no    1 0.52  14.5 3354.3         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_501, whole genome shotgun sequence
NW_026261293.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     3993     7408      +    no    1 0.52  14.5 3354.3         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_512, whole genome shotgun sequence
NW_026261103.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     9504    12920      +    no    1 0.52  14.6 3354.2         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_322, whole genome shotgun sequence
NW_026261104.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401    15127    11713      -    no    1 0.52  14.5 3354.2         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_323, whole genome shotgun sequence
NW_026261037.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     8533    11948      +    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_256, whole genome shotgun sequence
NW_026261037.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401    18345    21760      +    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_256, whole genome shotgun sequence
NW_026261113.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401    11895     8480      -    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_332, whole genome shotgun sequence
NW_026261121.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401    13755    10340      -    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_340, whole genome shotgun sequence
NW_026261148.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     6760     3345      -    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_367, whole genome shotgun sequence
NW_026261189.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     3359     6774      +    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_408, whole genome shotgun sequence
NW_026261204.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     7433    10848      +    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_423, whole genome shotgun sequence
NW_026261206.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     2565     5980      +    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_425, whole genome shotgun sequence
NW_026261225.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     3103     6518      +    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_444, whole genome shotgun sequence
NW_026261232.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401    12076     8661      -    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_451, whole genome shotgun sequence
NW_026261239.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     6378     9793      +    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_458, whole genome shotgun sequence
NW_026261246.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     7521     4106      -    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_465, whole genome shotgun sequence
NW_026261247.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     9669    13084      +    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_466, whole genome shotgun sequence
NW_026261256.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     5866     2451      -    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_475, whole genome shotgun sequence
NW_026261270.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     9943     6528      -    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_489, whole genome shotgun sequence
NW_026261271.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     8080     4665      -    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_490, whole genome shotgun sequence
NW_026261299.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     5637     2222      -    no    1 0.52  14.8 3354.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_518, whole genome shotgun sequence
NW_026261163.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401    18253    14838      -    no    1 0.52  14.4 3349.8         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_382, whole genome shotgun sequence
NW_026261121.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     3943      528      -    no    1 0.52  14.5 3347.7         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_340, whole genome shotgun sequence
NW_026261248.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     5849     9265      +    no    1 0.52  15.0 3346.4         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_467, whole genome shotgun sequence
NW_026261139.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401    13077     9663      -    no    1 0.52  14.9 3345.2         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_358, whole genome shotgun sequence
NW_026261269.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     5980     9395      +    no    1 0.52  14.4 3340.7         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_488, whole genome shotgun sequence
NW_026261098.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401      585     4001      +    no    1 0.52  14.0 3340.2         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_317, whole genome shotgun sequence
NW_026261260.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     5166     1749      -    no    1 0.52  14.9 3340.1         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_479, whole genome shotgun sequence
NW_026261064.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     6811     3395      -    no    1 0.52  14.6 3339.5         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_283, whole genome shotgun sequence
NW_026261234.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     5080     1664      -    no    1 0.52  14.5 3331.2         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_453, whole genome shotgun sequence
NW_026261229.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     2039     5460      +    no    1 0.52  14.6 3328.1         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_448, whole genome shotgun sequence
NW_026261287.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     4855     8269      +    no    1 0.52  14.4 3319.3         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_506, whole genome shotgun sequence
NW_026261142.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     3790      369      -    no    1 0.52  14.6 3306.5         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_361, whole genome shotgun sequence
NW_026261211.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     6227     2812      -    no    1 0.52  14.8 3306.4         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_430, whole genome shotgun sequence
NW_026261142.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401    13572    10156      -    no    1 0.52  13.7 3270.6         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_361, whole genome shotgun sequence
NW_026261251.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     8044    11459      +    no    1 0.52  14.2 3269.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_470, whole genome shotgun sequence
NW_026261072.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     1735     5152      +    no    1 0.52  14.2 3247.4         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_291, whole genome shotgun sequence
NW_026261247.1       -         LSU_rRNA_eukarya     RF02543    cm      151     3401        1     3266      +    5'    2 0.53  15.3 3180.9         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_466, whole genome shotgun sequence
NW_026261085.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401      444     3826      +    no    1 0.52   7.8 3166.1         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_304, whole genome shotgun sequence
NW_026261139.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     3266       69      -    no    1 0.52  11.0 3158.5         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_358, whole genome shotgun sequence
NW_026261216.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     5784     9217      +    no    1 0.52  17.5 3149.3         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_435, whole genome shotgun sequence
NW_026261163.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     8479     5048      -    no    1 0.52  15.5 3135.9         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_382, whole genome shotgun sequence
NW_026261296.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3072     4822     7913      +    3'    3 0.52  10.2 3130.9         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_515, whole genome shotgun sequence
NW_026261104.1       -         LSU_rRNA_eukarya     RF02543    cm        1     3401     5348     1908      -    no    1 0.52  13.7 3085.6         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_323, whole genome shotgun sequence
NW_026261291.1       -         LSU_rRNA_eukarya     RF02543    cm        1     2966     5679     8665      +    3'    3 0.52  10.7 3020.4         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_510, whole genome shotgun sequence
NW_026261103.1       -         LSU_rRNA_eukarya     RF02543    cm      307     3401        1     3108      +    5'    2 0.52  13.6 3001.2         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_322, whole genome shotgun sequence
NW_026261189.1       -         LSU_rRNA_eukarya     RF02543    cm        1     2910    13172    16102      +    3'    3 0.52   9.9 2928.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_408, whole genome shotgun sequence
NW_026261295.1       -         LSU_rRNA_eukarya     RF02543    cm        1     2887     5013     7920      +    3'    3 0.52  11.1 2898.4         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_514, whole genome shotgun sequence
NW_026261294.1       -         LSU_rRNA_eukarya     RF02543    cm      453     3401     7995     5032      -    5'    2 0.53  10.8 2883.9         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_513, whole genome shotgun sequence
NW_026261113.1       -         LSU_rRNA_eukarya     RF02543    cm      640     3401    21044    18300      -    5'    2 0.52   9.3 2835.0         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_332, whole genome shotgun sequence
NW_026261206.1       -         LSU_rRNA_eukarya     RF02543    cm        1     2837    12374    15231      +    3'    3 0.52  11.7 2821.1         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_425, whole genome shotgun sequence
NW_026261234.1       -         LSU_rRNA_eukarya     RF02543    cm      821     3401    13864    11294      -    5'    2 0.52   5.8 2707.3         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_453, whole genome shotgun sequence
NW_026261072.1       -         LSU_rRNA_eukarya     RF02543    cm        1     2715    21387    24121      +    3'    3 0.52  13.3 2618.7         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_291, whole genome shotgun sequence
NW_026261211.1       -         LSU_rRNA_eukarya     RF02543    cm      964     3401    15041    12619      -    5'    2 0.52   3.3 2547.6         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_430, whole genome shotgun sequence
NW_026261278.1       -         LSU_rRNA_eukarya     RF02543    cm     1110     3401    10154     7875      -    5'    2 0.52   3.7 2415.9         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_497, whole genome shotgun sequence
NW_026261298.1       -         LSU_rRNA_eukarya     RF02543    cm        1     2492     5252     7765      +    3'    3 0.53  11.4 2398.1         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_517, whole genome shotgun sequence
NW_026261191.1       -         LSU_rRNA_eukarya     RF02543    cm        1     2449     2475        1      -    3'    3 0.53   9.3 2370.8         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_410, whole genome shotgun sequence
NW_026261037.1       -         LSU_rRNA_eukarya     RF02543    cm     1259     3401        1     2137      +    5'    2 0.52   1.8 2180.5         0 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_256, whole genome shotgun sequence
